"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" И";"цяс́ем";"И";"ме́сяц";" ";"беспу́тный исче́з в темноте́: Он да́рит";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"И ме́сяц беспу́тный исче́з в темноте́: Он да́рит созве́здиям ме́сто.";"b9f3660e7ab687235656c5f383c7ebce:2:1"
" цяс́ем И";"йынт́упсеб";"И ме́сяц";"беспу́тный";" ";"исче́з в темноте́: Он да́рит созве́здиям";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"И ме́сяц беспу́тный исче́з в темноте́: Он да́рит созве́здиям ме́сто.";"b9f3660e7ab687235656c5f383c7ebce:2:2"
" йынт́упсеб цяс́ем И";"з́ечси";"И ме́сяц беспу́тный";"исче́з";" ";"в темноте́: Он да́рит созве́здиям ме́сто.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"И ме́сяц беспу́тный исче́з в темноте́: Он да́рит созве́здиям ме́сто.";"b9f3660e7ab687235656c5f383c7ebce:2:3"
" з́ечси йынт́упсеб цяс́ем И";"в";"И ме́сяц беспу́тный исче́з";"в";" ";"темноте́: Он да́рит созве́здиям ме́сто.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"И ме́сяц беспу́тный исче́з в темноте́: Он да́рит созве́здиям ме́сто.";"b9f3660e7ab687235656c5f383c7ebce:2:4"
" в з́ечси йынт́упсеб цяс́ем И";"́етонмет";"И ме́сяц беспу́тный исче́з в";"темноте́";": ";"Он да́рит созве́здиям ме́сто.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"И ме́сяц беспу́тный исче́з в темноте́: Он да́рит созве́здиям ме́сто.";"b9f3660e7ab687235656c5f383c7ebce:2:5"
" :́етонмет в з́ечси йынт́упсеб цяс́ем И";"нО";"И ме́сяц беспу́тный исче́з в темноте́:";"Он";" ";"да́рит созве́здиям ме́сто.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"И ме́сяц беспу́тный исче́з в темноте́: Он да́рит созве́здиям ме́сто.";"b9f3660e7ab687235656c5f383c7ebce:2:6"
" нО :́етонмет в з́ечси йынт́упсеб цяс́ем";"тир́ад";"ме́сяц беспу́тный исче́з в темноте́: Он";"да́рит";" ";"созве́здиям ме́сто.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"И ме́сяц беспу́тный исче́з в темноте́: Он да́рит созве́здиям ме́сто.";"b9f3660e7ab687235656c5f383c7ebce:2:7"
" тир́ад нО :́етонмет в з́ечси йынт́упсеб";"мяидз́евзос";"беспу́тный исче́з в темноте́: Он да́рит";"созве́здиям";" ";"ме́сто.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"И ме́сяц беспу́тный исче́з в темноте́: Он да́рит созве́здиям ме́сто.";"b9f3660e7ab687235656c5f383c7ebce:2:8"
" мяидз́евзос тир́ад нО :́етонмет в з́ечси";"отс́ем";"исче́з в темноте́: Он да́рит созве́здиям";"ме́сто";".  ";"";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"И ме́сяц беспу́тный исче́з в темноте́: Он да́рит созве́здиям ме́сто.";"b9f3660e7ab687235656c5f383c7ebce:2:9"
"";"нО";"";"Он";" ";"то́же с земле́ю нако́ротке Так бы́ло";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Он то́же с земле́ю нако́ротке Так бы́ло всегда́, как изве́стно.";"b9f3660e7ab687235656c5f383c7ebce:3:0"
