"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" ан ̀идис̀оП";"екчов̀ал";"По̀сидѝ на";"ла̀вочке";", ";"глотнѝ из буты̀лочки, всѐ такѝе ла̀почки";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"По̀сидѝ на ла̀вочке, глотнѝ из буты̀лочки, всѐ такѝе ла̀почки, всѐ такѝе мѝлочки,";"40a9b96dbde3af62a37e7563a76e653c:4:2"
" ,екчов̀ал ан ̀идис̀оП";"̀интолг";"По̀сидѝ на ла̀вочке,";"глотнѝ";" ";"из буты̀лочки, всѐ такѝе ла̀почки, всѐ";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"По̀сидѝ на ла̀вочке, глотнѝ из буты̀лочки, всѐ такѝе ла̀почки, всѐ такѝе мѝлочки,";"40a9b96dbde3af62a37e7563a76e653c:4:3"
" ̀интолг ,екчов̀ал ан ̀идис̀оП";"зи";"По̀сидѝ на ла̀вочке, глотнѝ";"из";" ";"буты̀лочки, всѐ такѝе ла̀почки, всѐ такѝе";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"По̀сидѝ на ла̀вочке, глотнѝ из буты̀лочки, всѐ такѝе ла̀почки, всѐ такѝе мѝлочки,";"40a9b96dbde3af62a37e7563a76e653c:4:4"
" зи ̀интолг ,екчов̀ал ан ̀идис̀оП";"икчол̀ытуб";"По̀сидѝ на ла̀вочке, глотнѝ из";"буты̀лочки";", ";"всѐ такѝе ла̀почки, всѐ такѝе мѝлочки,";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"По̀сидѝ на ла̀вочке, глотнѝ из буты̀лочки, всѐ такѝе ла̀почки, всѐ такѝе мѝлочки,";"40a9b96dbde3af62a37e7563a76e653c:4:5"
" ,икчол̀ытуб зи ̀интолг ,екчов̀ал ан ̀идис̀оП";"̀есв";"По̀сидѝ на ла̀вочке, глотнѝ из буты̀лочки,";"всѐ";" ";"такѝе ла̀почки, всѐ такѝе мѝлочки,";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"По̀сидѝ на ла̀вочке, глотнѝ из буты̀лочки, всѐ такѝе ла̀почки, всѐ такѝе мѝлочки,";"40a9b96dbde3af62a37e7563a76e653c:4:6"
" ̀есв ,икчол̀ытуб зи ̀интолг ,екчов̀ал ан";"ѐикат";"на ла̀вочке, глотнѝ из буты̀лочки, всѐ";"такѝе";" ";"ла̀почки, всѐ такѝе мѝлочки,";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"По̀сидѝ на ла̀вочке, глотнѝ из буты̀лочки, всѐ такѝе ла̀почки, всѐ такѝе мѝлочки,";"40a9b96dbde3af62a37e7563a76e653c:4:7"
" ѐикат ̀есв ,икчол̀ытуб зи ̀интолг ,екчов̀ал";"икчоп̀ал";"ла̀вочке, глотнѝ из буты̀лочки, всѐ такѝе";"ла̀почки";", ";"всѐ такѝе мѝлочки,";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"По̀сидѝ на ла̀вочке, глотнѝ из буты̀лочки, всѐ такѝе ла̀почки, всѐ такѝе мѝлочки,";"40a9b96dbde3af62a37e7563a76e653c:4:8"
" ,икчоп̀ал ѐикат ̀есв ,икчол̀ытуб зи ̀интолг";"̀есв";"глотнѝ из буты̀лочки, всѐ такѝе ла̀почки,";"всѐ";" ";"такѝе мѝлочки,";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"По̀сидѝ на ла̀вочке, глотнѝ из буты̀лочки, всѐ такѝе ла̀почки, всѐ такѝе мѝлочки,";"40a9b96dbde3af62a37e7563a76e653c:4:9"
" ̀есв ,икчоп̀ал ѐикат ̀есв ,икчол̀ытуб зи";"ѐикат";"из буты̀лочки, всѐ такѝе ла̀почки, всѐ";"такѝе";" ";"мѝлочки,";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"По̀сидѝ на ла̀вочке, глотнѝ из буты̀лочки, всѐ такѝе ла̀почки, всѐ такѝе мѝлочки,";"40a9b96dbde3af62a37e7563a76e653c:4:10"
" ѐикат ̀есв ,икчоп̀ал ѐикат ̀есв ,икчол̀ытуб";"икчол̀им";"буты̀лочки, всѐ такѝе ла̀почки, всѐ такѝе";"мѝлочки";",  ";"";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"По̀сидѝ на ла̀вочке, глотнѝ из буты̀лочки, всѐ такѝе ла̀почки, всѐ такѝе мѝлочки,";"40a9b96dbde3af62a37e7563a76e653c:4:11"
